N	53.3531	-6.24591	D926	02 Oct 2022	D926\nDublin Connolly to Maynooth\nExpected Departure 22:17	Northbound
R	53.5741	-6.11933	D822	02 Oct 2022	D822\n21:35 - Dublin Connolly to Dundalk (5 mins late)\nDeparted Skerries next stop Balbriggan	Northbound
